,tweet_id,sentiment,author,content
158,1957004519,worry,asteinke,i 'm show ag renew tag last week went 20 got ins renew email today went 100 i n't wan na old
159,1957004606,worry,riannasc,sol support sol support
160,1957004749,hate,golden_one,n't hat fin work 's stil 1.25 hour left work tim
161,1957005165,worry,RebeccaBrunner,emilyyy16 urgh stop guy
162,1957005226,sadness,GiselleLee,stil miss husband i reall want hom
163,1957005279,sadness,PYTDavis,i miss pupp
164,1957005410,surprise,HIM357,2 day mon left i 400mb left onpeak download
165,1957005696,fun,nickhalme,idlethumb up i n't get memo it look amaz
166,1957005713,sadness,smilyross,nzdeani i 've giv pizz kid would nev let fav hot on
167,1957005817,worry,JBabyLove,up read tabloid peopl 's liv ... think i 'm gon na min bab leav
168,1957006033,sadness,klybob,barbschaef yearl pet hom die ... sad whol famil
169,1957006074,neutral,rnbprincess79,fun sun hmmm hel 's cold
170,1957006098,worry,puelladei,i got giant splinter stuck undernea fing nail today muppet ... hurt but i got go first aid first tim
171,1957006245,sadness,bella_facia,heresmyhello92 we hat chang cour we 're fan lif lt 3 oh n't met rob some went horr wrong
172,1957006307,worry,ninz_0214,feel sad ... reason.. http //plurk.com/p/wxji3
173,1957006547,sadness,spookychan,wel fuck- new pain med od warn act appl ca n't tak -chan displea
174,1957006674,sadness,nel5on,upload new blog ... pain stor 80 year old man cri want die ... sad
175,1957006725,neutral,andrewjennings,juney n't think i want detail
176,1957006830,neutral,AddITame,jackgraycn hi ... who mar poppin
177,1957006947,worry,miiiiiiike,jaychuck it addict kind cur night tim everytim on feel lik mak mus afterward
178,1957007167,neutral,Dillontate,last tweet n't send bad phon
179,1957007268,fun,EmaMolly,relly1 omg ur al lol 2day gon sooo slow i 'm go ins grrr you any tonight
180,1957007357,empty,_SNO_,hav headach i 'm go bed goodnight
181,1957007394,neutral,jarekpastor,taxiderm i watch par control
182,1957007437,fun,grrimadinox,jessijaejoplin get californ vint ahahah best dress want dont ebay
183,1957007633,sadness,IAmYourDensity,i saw pic past thanksg sad grandm
184,1957007981,worry,MunkyMunch,jertron wont let
185,1957008075,sadness,Inamint,took shift tomorrow i n't reall feel lik work right
186,1957008193,sadness,kimchiipanda,money phon
187,1957008287,worry,KarlOnSea,spent last night a amp e er wif tangl wheel daught amp hit deck disloc amp fract result
188,1957008292,worry,RoseMarionTyler,thelastdoct 9 day i 'm read visit torchwood see 've heard any
189,1957008434,surprise,Just_Cath,bern_morley in bri i ca n't hear thund
190,1957008478,surprise,bekahjayne,bec vs fat food -- win fat food weeknend il beat
191,1957008498,sadness,CathyDohling,too bad red devils.. disappoint say least
192,1957008766,surprise,shutitoff,i dream prett prett beach beach i wok
193,1957008802,sadness,pfak,xdjio hav 3ware 9650se fast enough 3x x25-m ssd raid5 800mhz iop hpt might tri adaptec 5405 1.2ghz
194,1957008987,surprise,lilTanker,da heck gar man get i ask you.. when..
195,1957009454,worry,woahitsJana,at mand plea forg i reall sorr i n't wan na los bff
196,1957009666,hate,wendyisastar,melluffsyew um yeah that 's prob prett good not self eeeeeewwwwwwww
197,1957010072,worry,tiffalo,plan ticket exp
198,1957010329,fun,NoteRobot,wendyisast melluffsyew um yeah that 's prob prett good not self eeeeeewwwwwwww
199,1957010415,worry,trina3mg,nee job badl
200,1957011291,sadness,ABCeCe,alexandergwhit daaammmnnnn i wish i
201,1957011738,worry,ignoredt,went di bell coff roast today ask job ... the person i nee speak holiday ... fb
202,1957012476,sadness,nickhalme,yuki_him i play lat part voodoo vil part co-op i lost us partn
203,1957012535,empty,SexyBeach,dymediva23 nit now i 'm n bor oppo almost sleep frm b 4
204,1957012769,sadness,ditzyfrenchfrys,bad friend
205,1957013149,neutral,cheeseyy,rlcpbiatch happ birthdayyy hop awesom day n't see next last night
206,1957013166,hate,jupzchris,sparkdawgm im shit right ... im vac got workin
207,1957013488,neutral,LetitiaIvy,aiderushton il oir
208,1957013697,neutral,Labellajuicy,only1kcj guess go girl i 'm stil gym work 6:30am
209,1957013723,hate,babygurl0791,would wish sev migrain would stop doc 's prescrib ar work
210,1957013804,love,jammmaster1021,bobbyedn miss gam
211,1957013885,sadness,debraladiva,moggy99 no internet last night er bril mass explo end nearb ga work er standb
212,1957013895,hate,kkjordan,tiffalo cuz airlin sup lam
213,1957013896,sadness,sigitt,lend stil pit com lamb though
214,1957014267,sadness,Karoli,bloomsday16 i 'm sorr hear her optim thing get bet for us
215,1957014389,relief,misscinders,don paint bedroom furnit i stil tabl wait mov uggh mov heat
216,1957014493,hate,Taynted_lyfe,i 'm tir ... insomn
217,1957014517,neutral,dalastmil62,juiceegapeach a hungr fool il prob nev see krisp krem had enjoy they clos
218,1957014653,neutral,sloanquigley,yelgiuqnayr airport didnt show tonight homo
219,1957014706,hate,butteredninja,i hat bakersfield i hat port let go hom alread i want start vac
220,1957015287,neutral,skk123,mrrathbon
221,1957015475,neutral,WgtnCoffeeCup,look desktop twit ap act let access url suggest i lik twittl link
222,1957015719,worry,dancingwithself,peopl hou know clos door
223,1957016086,surprise,chrisshennan,whi i complet facebook quizz tim morn ... espec friday morn
224,1957016169,neutral,thatonebroad,lizzziemonst amp jamiejamess soooo hungr
225,1957016339,worry,R_nB,munchkinhug i n't lik poss left sid brain hurt thing cal vp shunt poss dea
226,1957016697,sadness,fritoleva,had cancel wow
227,1957016818,worry,PnkRckGirl97,want mak mus profil n't money n't know writ mus n't know play instru studio
228,1957017164,sadness,RoxieDax,fairyfrogg but yeah ... i 'm sad quot ravenclaw quot account i lov account bit
229,1957017177,worry,KCSuzy,it 's 1:15 am i hear helicopt fli hou that 's kind weird in new headach back booooo
230,1957017320,worry,xSpotlighted,__sugar oh alway lt 3
231,1957017333,neutral,serinurshira,back school ms suhan 's last day ft ocu okay i 'm play altnoy
232,1957017486,neutral,skypen,pol tri get work powerpoint avail
233,1957017522,happiness,Davislb921,took math test today the day test teach say bring calc luk confid teach decid calc
234,1957017595,happiness,c10gg3rgirl,omg concert awesom madrig gav chil almost ever piec ... brook also cal alumn didnt get go
235,1957017610,neutral,thetoughsams,livestrongnd yeah 's terr cockatoo hardest liv emot good thing found though
236,1957018061,sadness,lsvdmbfan,up lat nothin 2 ... ..
237,1957018162,worry,leilanire,think vog mak sick think feel slightl ach
238,1957018678,empty,oohZOE,thetombert watch harp island lol ... vodk involv
239,1957019034,worry,monkeylover96,homework sux big tim math worst
240,1957019121,neutral,portablegamer,nymo would bet imo let play 3 song provid i start quot get quot black
241,1957019458,neutral,RefinedCaliber,3wordsaftersex nev start ...
242,1957019556,sadness,JMarmo13,sometim wish thing could go back way begin last sum
243,1957019715,worry,Mrs_Jackman,i download new twitterfon upd think fix typ problem new tweet n't
244,1957019766,empty,retroglo,tarng trud 's burnet ... on nor on goe
245,1957020180,sadness,ChickenNuggets,kateisb i feel way i guess mat alway mem
246,1957020385,happiness,itspaigepenales,i can 30 minut treadmil don 30 minut today alread gon na 20 minut
247,1957020390,worry,Karmenyl,'m sooooooooooooo conf
248,1957020593,neutral,anbudan_BALA,with friend lik vaiko nedum ltte n't nee enem wrong adv wrong tim led num dea amp lost cau wel
249,1957020624,worry,Tonysize,work day 7 7
250,1957020702,happiness,HD_Fury,chillin room ca n't wait zomb clwn cr it gon na 6-8 week
251,1957020861,neutral,BritishAtHeart1,i looov guit play i think sound magn if bet ... if
252,1957021039,worry,Musti08,superjerr no refund retriev account tak lik week just hop thief n't us hack 's permab
253,1957021224,neutral,la_oooo_ra,mysticnz im cri lol
254,1957021305,sadness,AndyClaudine,cut malay girl cam seem room rent sadl think guyfreind bit mislead disappoint lol
255,1957021321,surprise,FoOie,gurlstrang ep wheelock plac 250 unit amp tour start today
256,1957021486,hate,karissaferg,i hat new mt dew commercial..th on giant mosquito..it scar gross tim
257,1957021631,neutral,KittyPoops,com knight ... it 's wel 4 hour
258,1957022610,worry,leonperkin,sup keen driv hom rain.. addit cont requir n't reall wan na deal
259,1957022799,surprise,dan11ela,foxxfil aw u ca n't let secret
260,1957023061,surprise,MissxMarisa,freshypand im sorr i n't think i stick least comp i us look lik
261,1957023133,worry,AmyFuentes,transport church wont mak im crush oh wel tim assign i suppo my throat reall hurt ...
262,1957023263,hate,youulovemee,hat see pregn wom smokingg sooo irrespon n self saaad ultim bab on suff
263,1957023739,hate,Tin06,lie ... lie ... lie ... .you cant avoid lie pract ... every
264,1957023842,neutral,hoolahoopchick,twittascop not rock sock go away alread
265,1957023917,neutral,schlingel,driv back hom i forgot piec cak v_era
266,1957024334,worry,o0hmaig0d,seemouserun i tri jump without trampolin lik thud* thud* n't eat cook http //myloc.me/1xiz
267,1957025428,sadness,lungjen,everytim i send email coach i feel nee pract shitt bal lol
268,1957026475,sadness,annamaurice,it 's piss let follow erick
269,1957027495,sadness,FreddyS87,is go sleep peac want hear say good night n't hap good night everyon ...
270,1957027630,sadness,CforrClemmensen,mum tri mak feel ebt stop vot adn win shortstack almost cri
271,1957027687,neutral,lucasd,koifusionpdx clos taco ... on spot lat
272,1957027841,empty,730Fam,msz_rockstar um bout em ..aint get 2 see da gam see dey surv anoth gam da ser due notin lebron im guessin
273,1957028656,surprise,Fairywinds,think much 'm work
274,1957028775,worry,MllexCamelia,i forgot liv jon broth facebook
275,1957028895,sadness,d0nnadean,i n't seen muffin two whol day
276,1957029111,sadness,InNoSenseLost,yumifuji 'll miss y'all back ... giv lesleyboud regard ...
277,1957029634,surprise,maddy_1212,gap year go quick
278,1957029641,worry,jocelleuntalan,i admit i 'm bit bum i n't friend walk today ...
279,1957029899,neutral,tokyojackson,jennyvok girl blunt soooooooo thought right i absolutl gre day stressor ... com hom
280,1957030196,worry,SoSpoiledDatsMe,twit hack
281,1957030545,sadness,faddict,just found mj mou flat dj of cour non left siz
282,1957030596,neutral,PULLINGTEEETH,passingcarss wont tim buy nee new bind pa
283,1957030622,hate,sharnanicole,lanacaitlin hahah wel tri ugl
284,1957030793,neutral,aeria_gloris,25-man uldu hard ...
285,1957031520,worry,Intel_Eric,jmoriart i n't ev want know whi know vhemt n't go 'd miss
286,1957031859,fun,KylieMalchus,ooochelcyooo that 's awesom we weekend i ca n't go i 'm mov sat i lot fun though
287,1957032014,neutral,Simranvfc,night night twit world stil cant believ thom thing tomorrow 's gunn fun/sad
288,1957032051,neutral,allieeeec,princess_oat hap
289,1957032114,surprise,johnnypurple,qi_tah oh *hugs*
290,1957032127,neutral,minauderie,oxygen8705 bor talk someon 're bus some el kind bum idk
291,1957032228,sadness,tiffanylue,xoshays knoww thing wo n't sam lt /3
292,1957032539,worry,tweeterchic66,omg- 's 11:18 pm i nee beup earl set gar sal start 8am wish i said 9am i 'm beat
293,1957033043,happiness,carlysialevert,vinylvickx kno doooo yal partyin
294,1957033103,worry,sjwilling,okay twit suddenl chang i respond mess
295,1957033219,neutral,mstellacrap,ugh.. dad told read artic kavy shivashank spellin bee girl..and lik
296,1957033558,worry,Rossco_NZ,decid mat good hair look curl n't justif burn i get curl my hand cov i suck
297,1957033776,sadness,vivianenguyen,go sleep gon na fal asleep play ap tmrw go suck
298,1957033815,neutral,ANDREAMARIEXOXO,thabillcollect ye i got ta be up at 7:30
299,1957033874,hate,Lilixbabi3,i hat bf beat da dog but i guess way teach pit
300,1957033901,worry,ACjoint,sprain ankl lik reall badl tor stuff hurt birthday weekend
301,1957034202,sadness,JohnnyFiction,i ca n't believ met gear solid song stol i 'm disappoint http //bit.ly/ykksu
302,1957034289,hate,kimba1bl,think may brok toe bar tonight ... ... thank drunk girl steppin
303,1957034434,neutral,dawnoftheprawn,not on sal don today work expl balcon big the w cowork a fun day void chil fri tip
304,1957034566,sadness,mara_nerdgirl,maczombierawr i wish i left 4 dead but first i 'd nee some play ...
305,1957034940,neutral,mommyanjayyy,sillybabyjul
306,1957034983,neutral,djcosta1977,digen stor remind liv portug
307,1957035419,neutral,twinkleval,jhick yo diabet dad amp might sur stil allow eat sug throughout day
308,1957035564,happiness,rondhi,i spil beer leg wast half beer hom i met cut girl good conv
309,1957035950,hate,geezitslouize,room tess_tickl lov ign
310,1957036183,neutral,LizSkoczylas,superfiasco i 'll mak nacho tomorrow bet would mad
311,1957037405,neutral,cynthiaperez,mydailyroutin yeahhh amp dont judg pillow
312,1957037860,relief,oh_slc,scar lightn thund i 'm glad 's go sleep i hop i 'm lat school tomorow hah
313,1957038324,sadness,judez_xo,tee head hurt
314,1957038398,sadness,christynnicole,i hat rob zomb mov amp smel wee vommm
315,1957038470,hate,No1PanicFan,jcwentz math sci strongest think..dunno bout geograph lik 1 day stud 1/2 year work
316,1957038475,boredom,kameezy,wait lin tryst
317,1957038477,worry,LinksMommy,hop i get job cuz nee apart i 'm drunk amp miss lil punkin teh
318,1957038763,worry,xxkxx07,got hom want read last chap break dawn cau dont want beov
319,1957038970,worry,melissacalderon,i nee held ... gnit
320,1957039203,worry,megan_kelli,hang sam bill veronic go school tomorrow tak sam bod shop dang car accid
321,1957039456,sadness,trixbiscuits,arrest develop sad
322,1957039841,neutral,Elliecopter_,giggles_xo wick tim leav com cant stay night
323,1957039894,sadness,TheNewBradie,omg keep los follow sad want 90 on day ... .that goal d
324,1957039922,sadness,jmil1733,i feel defl no dogg
325,1957039947,worry,Ennjo,blood_rain wan na see hair how everyon
326,1957040172,sadness,kourt_1023,"i empt trash mac on the most difficult thing i ev don lif 8,000 pict gon"
327,1957040395,sadness,joe_uberkawaii,im contact paw philippin find quot tig quot new own im sad lov dog soo much
328,1957040988,sadness,xxkxx07,got hom want read last chap break dawn cau dont want
329,1957041569,worry,searchformatt,aww ... pray arroyo famil everyon
330,1957041648,neutral,ssanyal,the_babsi 's man process ... 's tak 4ever outlook databa ... pffff crapp msft produc
331,1957041745,sadness,ROBOKAWAII,fuuudg mov stor clos
332,1957041767,sadness,courtneyyy3,alo sad quiet empt tonight
333,1957041812,hate,MissxMarisa,meganmansyn hahahah it 's horr oth sing i 'm sur could work i wish i could afford drum set
334,1957041856,worry,Kgreenel,wuzzyangel you nev answ dm i sent ... i nee info ...
335,1957042008,worry,kharise,am tri get pilot first season friday night light oh gosh pass tissu ...
336,1957042316,sadness,heartbeam,mona26 aw head cancel trip auss
337,1957042474,worry,andimoonpie,i cyst lacrim infectect ey fac swol hurt
338,1957042509,worry,thecareysisters,jose3030 i n't think anyon caught
339,1957042579,empty,rebekahlynne,i nee sleeping.. but 'm ev tired..
340,1957042734,empty,Kayleia,0
341,1957042799,neutral,sparklyrainbowz,oh nevermind i think thi thing is unsalv
342,1957042862,neutral,Kaxiee,lyin bed faaaa earl
343,1957043226,sadness,lindseyrivera,sad christian lacroix fil bankruptc
344,1957043241,sadness,princessniki1,i dont feel good at al fuckkk
345,1957044366,boredom,snoopync18,agr work doubl shift
346,1957044680,worry,SomeThingTiny,look lik 'll nev go zoo
347,1957044694,worry,ABabyBlueEyes,djvinceadam ohh poor girl i 'll email ... i rel octob mr
348,1957044783,neutral,brianalotto,when medhurst play
349,1957044789,worry,GothWab,moss1982 bad tim
350,1957044935,hate,helenmurdock,aarrgghh fu*k ... ..a hos leak wat new flo flo
351,1957045395,sadness,DudeAsInCool,hav go dread dmv tomorrow
352,1957045641,neutral,kbeilz,duncm i 'm bit ben 's thai-
353,1957045692,happiness,Fredrikkk,engl class work interact or
354,1957045940,worry,dzgraphicdesign,sharonhay thank rec n't work
355,1957046053,neutral,alexandraduggan,dmoneyman i 'm sorr excit tomorrow night karaok get any spec bday
356,1957046090,worry,TweedyLynn,my pupp gizmo h8 me.. hah he stil growl i alway look back long prupl scar fing
357,1957046631,worry,Atheprincez,i n't know im work tomorrow wit bod di sor ugh
358,1957046815,neutral,md_alston,7-11 w/o
